true	abductive	Anne Frank hid from the Nazis.	Anne Frank, a jewish girl, was in hiding from 1942 to 1944, during the German occupation of the Netherlands in World War II. 	Anne Frank was a German-born Jewish girl who kept a diary. She is a celebrated diarist who described everyday life from her family hiding place in an Amsterdam attic. One of the most-discussed Jewish victims of the Holocaust, she gained fame posthumously with the 1947 publication of The Diary of a Young Girl (originally Het Achterhuis in Dutch, lit.'the back house'; English: The Secret Annex), in which she documents her life in hiding from 1942 to 1944, during the German occupation of the Netherlands in World War II. It is one of the world's best-known books and has been the basis for several plays and films.
true	deductive number	Anne Frank hid for more than 2 years.	She was in hiding from 1942 to 1944.	Anne Frank was a German-born Jewish girl who kept a diary in which she documented life in hiding under Nazi persecution. She is a celebrated diarist who described everyday life from her family hiding place in an Amsterdam attic. One of the most-discussed Jewish victims of the Holocaust, she gained fame posthumously with the 1947 publication of The Diary of a Young Girl (originally Het Achterhuis in Dutch, lit.'the back house'; English: The Secret Annex), in which she documents her life in hiding from 1942 to 1944, during the German occupation of the Netherlands in World War II. It is one of the world's best-known books and has been the basis for several plays and films.
true	deductive time	Anne Frank did not survive 1945.	Anne Frank (12 June 1929 – c.February or March 1945) was a German-born Jewish girl.	Anne Frank was a German-born Jewish girl who kept a diary in which she documented life in hiding under Nazi persecution. She is a celebrated diarist who described everyday life from her family hiding place in an Amsterdam attic. One of the most-discussed Jewish victims of the Holocaust, she gained fame posthumously with the 1947 publication of The Diary of a Young Girl (originally Het Achterhuis in Dutch, lit.'the back house'; English: The Secret Annex), in which she documents her life in hiding from 1942 to 1944, during the German occupation of the Netherlands in World War II. It is one of the world's best-known books and has been the basis for several plays and films.
true	deductive	Freddie Highmore started acting at a young age.	Freddie Highmore is known for his starring roles beginning as a child.	Freddie Highmore is an English actor. He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008). He won two consecutive Critics' Choice Movie Awards for Best Young Performer.
true	deductive	Freddie Highmore was a good actor.	He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008).	Freddie Highmore is an English actor. He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008). He won two consecutive Critics' Choice Movie Awards for Best Young Performer.
true	deductive number	Freddie Highmore was in at least 3 films.	He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008).	Freddie Highmore is an English actor. He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008). He won two consecutive Critics' Choice Movie Awards for Best Young Performer.
true	deductive time	Freddie Highmore was born before he starred in the film Finding Neverland.	He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008).	Freddie Highmore is an English actor. He is known for his starring roles beginning as a child, in the films Finding Neverland (2004), Charlie and the Chocolate Factory (2005), August Rush (2007), and The Spiderwick Chronicles (2008). He won two consecutive Critics' Choice Movie Awards for Best Young Performer.
true	deductive	Adidas is a European company.	It is the largest sportswear manufacturer in Europe.	Adidas AG; stylized as adidas since 1949) is a German athletic apparel and footwear corporation headquartered in Herzogenaurach, Bavaria, Germany. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which also owns an 8.33% stake of the football club Bayern München, and Runtastic, an Austrian fitness technology company. Adidas's revenue for 2018 was listed at EUR 21.915 billion.
true	deductive	Adidas sells sport shoes.	Adidas is a German athletic apparel and footwear corporation.	Adidas AG; stylized as adidas since 1949) is a German athletic apparel and footwear corporation headquartered in Herzogenaurach, Bavaria, Germany. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which also owns an 8.33% stake of the football club Bayern München, and Runtastic, an Austrian fitness technology company. Adidas's revenue for 2018 was listed at EUR 21.915 billion.
true	deductive number	Adidas had a revenue of over 20 billion euros in 2018.	Adidas's revenue for 2018 was listed at EUR 21.915 billion.	Adidas AG; stylized as adidas since 1949) is a German athletic apparel and footwear corporation headquartered in Herzogenaurach, Bavaria, Germany. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which also owns an 8.33% stake of the football club Bayern München, and Runtastic, an Austrian fitness technology company. Adidas's revenue for 2018 was listed at EUR 21.915 billion.
true	deductive time	Adidas operated during the 2010s.	Adidas's revenue for 2018 was listed at EUR 21.915 billion.	Adidas AG; stylized as adidas since 1949) is a German athletic apparel and footwear corporation headquartered in Herzogenaurach, Bavaria, Germany. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike. It is the holding company for the Adidas Group, which also owns an 8.33% stake of the football club Bayern München, and Runtastic, an Austrian fitness technology company. Adidas's revenue for 2018 was listed at EUR 21.915 billion.
true	deductive	Loss was published online.	Loss is a strip published on June 2, 2008, by Tim Buckley for his gaming-related webcomic Ctrl+Alt+Del.	"Loss", sometimes referred to as "Loss.jpg", is a strip published on June 2, 2008, by Tim Buckley for his gaming-related webcomic Ctrl+Alt+Del. Set during a storyline in which the main character Ethan and his fiancee Lilah are expecting their first child, the strip—presented as a four-panel comic with no dialogue—shows Ethan entering a hospital, where he sees Lilah weeping in a hospital bed after suffering a miscarriage. Buckley cited events in his life as inspiration for the comic.
true	deductive	Loss has a dark plot.	Set during a storyline in which the main character Ethan and his fiancee Lilah are expecting their first child, the strip shows Ethan entering a hospital, where he sees Lilah weeping in a hospital bed after suffering a miscarriage.	"Loss", sometimes referred to as "Loss.jpg", is a strip published on June 2, 2008, by Tim Buckley for his gaming-related webcomic Ctrl+Alt+Del. Set during a storyline in which the main character Ethan and his fiancee Lilah are expecting their first child, the strip—presented as a four-panel comic with no dialogue—shows Ethan entering a hospital, where he sees Lilah weeping in a hospital bed after suffering a miscarriage. Buckley cited events in his life as inspiration for the comic.
true	deductive number	Loss featured multiple characters.	The strip features the main character Ethan and his fiancee Lilah.	"Loss", sometimes referred to as "Loss.jpg", is a strip published on June 2, 2008, by Tim Buckley for his gaming-related webcomic Ctrl+Alt+Del. Set during a storyline in which the main character Ethan and his fiancee Lilah are expecting their first child, the strip—presented as a four-panel comic with no dialogue—shows Ethan entering a hospital, where he sees Lilah weeping in a hospital bed after suffering a miscarriage. Buckley cited events in his life as inspiration for the comic.
true	deductive time	Loss was published before the 2019 coronavirus pandmeic.	Loss is a strip published on June 2, 2008.	"Loss", sometimes referred to as "Loss.jpg", is a strip published on June 2, 2008, by Tim Buckley for his gaming-related webcomic Ctrl+Alt+Del. Set during a storyline in which the main character Ethan and his fiancee Lilah are expecting their first child, the strip—presented as a four-panel comic with no dialogue—shows Ethan entering a hospital, where he sees Lilah weeping in a hospital bed after suffering a miscarriage. Buckley cited events in his life as inspiration for the comic.
true	deductive	Fibromyalgia has many symptoms.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity. The cause of fibromyalgia is unknown, but is believed to involve a combination of genetic and environmental factors.
true	???	Fibromyalgia can make it hard to get out of bed.	Symptoms include fatigue, waking unrefreshed, and depression.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity. The cause of fibromyalgia is unknown, but is believed to involve a combination of genetic and environmental factors.
true	deductive number	Fibromyalgia has at least 5 symptoms.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity. The cause of fibromyalgia is unknown, but is believed to involve a combination of genetic and environmental factors.
true	deductive time	What causes fibromyalgia is currently uncertain.	The cause of fibromyalgia is unknown, but is believed to involve a combination of genetic and environmental factors.	Fibromyalgia is a medical condition defined by the presence of chronic widespread pain, fatigue, waking unrefreshed, cognitive symptoms, lower abdominal pain or cramps, and depression. Other symptoms include insomnia and a general hypersensitivity. The cause of fibromyalgia is unknown, but is believed to involve a combination of genetic and environmental factors.
true	deductive	Lily Allen is female.	Lily Allen is an English singer-songwriter and actress.	Lily Allen is an English singer-songwriter and actress. She is the daughter of actor Keith Allen and film producer Alison Owen. Her music career began in 2005 when she made some of her vocal recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings. Her first mainstream single, "Smile", reached number one on the UK Singles Chart in July 2006. Her debut record, Alright, Still, was well received, selling over 2.6 million copies worldwide and bringing Allen nominations at the Grammy Awards, the Brit Awards, and the MTV Video Music Awards.
true	abductive	Lily Allen's popularity was bolstered by the internet.	Her music career began in 2005 when she made some of her vocal recordings public on Myspace.	Lily Allen is an English singer-songwriter and actress. She is the daughter of actor Keith Allen and film producer Alison Owen. Her music career began in 2005 when she made some of her vocal recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings. Her first mainstream single, "Smile", reached number one on the UK Singles Chart in July 2006. Her debut record, Alright, Still, was well received, selling over 2.6 million copies worldwide and bringing Allen nominations at the Grammy Awards, the Brit Awards, and the MTV Video Music Awards.
true	deductive number	Lily Allen has sold millions of copies of her songs.	Her debut record, Alright, Still, was well received, selling over 2.6 million copies worldwide.	Lily Allen is an English singer-songwriter and actress. She is the daughter of actor Keith Allen and film producer Alison Owen. Her music career began in 2005 when she made some of her vocal recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings. Her first mainstream single, "Smile", reached number one on the UK Singles Chart in July 2006. Her debut record, Alright, Still, was well received, selling over 2.6 million copies worldwide and bringing Allen nominations at the Grammy Awards, the Brit Awards, and the MTV Video Music Awards.
true	deductive time	Lily Allen was born in the first half of the year.	Lily Allen (born 2 May 1985) is an English singer-songwriter and actress.	Lily Allen is an English singer-songwriter and actress. She is the daughter of actor Keith Allen and film producer Alison Owen. Her music career began in 2005 when she made some of her vocal recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings. Her first mainstream single, "Smile", reached number one on the UK Singles Chart in July 2006. Her debut record, Alright, Still, was well received, selling over 2.6 million copies worldwide and bringing Allen nominations at the Grammy Awards, the Brit Awards, and the MTV Video Music Awards.
true	deductive	Sally Field won many awards.	She has received many accolades throughout her career.	Sally Margaret Field (born November 6, 1946) is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning over five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.
true	deductive	Sally Field has acted in more than just films.	She is known for her extensive work on screen and stage.	Sally Margaret Field (born November 6, 1946) is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning over five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.
true	deductive number	Sally Field won at least 9 awards.	She has received two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.	Sally Margaret Field (born November 6, 1946) is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning over five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.
true	deductive time	Sally Field won an award in 2014.	She was presented with a star on the Hollywood Walk of Fame in 2014.	Sally Margaret Field (born November 6, 1946) is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning over five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.
false	deductive	Cavani is a goalkeeper.	Cavani Gómez is an Uruguayan professional footballer who plays as a striker.	Edinson Roberto Cavani Gómez (born 14 February 1987) is an Uruguayan professional footballer who plays as a striker for Argentine Primera División club Boca Juniors and the Uruguay national team. He is nicknamed El Matador ("The Killer") or Cazador ("Hunter") for his clinical finishing as well as his celebration, in which he makes a gesture resembling a bow and arrow. Cavani is considered one of the best strikers of his generation and one of Uruguay's greatest players.
false	???	Cavani injured an opposing player with a bow.	Cavani is known for his clinical finishing as well as his celebration, in which he makes a gesture resembling a bow and arrow. 	Edinson Roberto Cavani Gómez (born 14 February 1987) is an Uruguayan professional footballer who plays as a striker for Argentine Primera División club Boca Juniors and the Uruguay national team. He is nicknamed El Matador ("The Killer") or Cazador ("Hunter") for his clinical finishing as well as his celebration, in which he makes a gesture resembling a bow and arrow. Cavani is considered one of the best strikers of his generation and one of Uruguay's greatest players.
false	deductive number	Cavani is younger than 30.	Cavani was born on 14 February 1987.	Edinson Roberto Cavani Gómez (born 14 February 1987) is an Uruguayan professional footballer who plays as a striker for Argentine Primera División club Boca Juniors and the Uruguay national team. He is nicknamed El Matador ("The Killer") or Cazador ("Hunter") for his clinical finishing as well as his celebration, in which he makes a gesture resembling a bow and arrow. Cavani is considered one of the best strikers of his generation and one of Uruguay's greatest players.
false	deductive time	Cavani was born on an odd numbered day.	Cavani was born on 14 February 1987.	Edinson Roberto Cavani Gómez (born 14 February 1987) is an Uruguayan professional footballer who plays as a striker for Argentine Primera División club Boca Juniors and the Uruguay national team. He is nicknamed El Matador ("The Killer") or Cazador ("Hunter") for his clinical finishing as well as his celebration, in which he makes a gesture resembling a bow and arrow. Cavani is considered one of the best strikers of his generation and one of Uruguay's greatest players.
false	deductive	Tom Felton is a Spanish actor.	Tom Felton is an English actor.	Thomas Andrew Felton (born 22 September 1987) is an English actor best known for playing Draco Malfoy in the film adaptations of the Harry Potter fantasy novels by J. K. Rowling.
false	deductive	Tom Felton's only role in the Harry Potter movies was as a centaur.	Tom Felton is an English actor best known for playing Draco Malfoy in the film adaptations of Harry Potter.	Thomas Andrew Felton (born 22 September 1987) is an English actor best known for playing Draco Malfoy in the film adaptations of the Harry Potter fantasy novels by J. K. Rowling.
false	deductive time	Tom Felton was born after the last Harry Potter movie released.	Tom Felton is an English actor best known for playing Draco Malfoy in the film adaptations of Harry Potter.	Thomas Andrew Felton (born 22 September 1987) is an English actor best known for playing Draco Malfoy in the film adaptations of the Harry Potter fantasy novels by J. K. Rowling.
false	deductive time	Tom Felton was born in the 6th month of the year.	Tom Felton was born on 22 September 1987.	Thomas Andrew Felton (born 22 September 1987) is an English actor best known for playing Draco Malfoy in the film adaptations of the Harry Potter fantasy novels by J. K. Rowling.
false	deductive	The Crown is about Queen Victoria.	The Crown is a historical drama television series about the reign of Queen Elizabeth II.	The Crown is a historical drama television series about the reign of Queen Elizabeth II, created and principally written by Peter Morgan and produced by Left Bank Pictures and Sony Pictures Television for Netflix. Morgan developed it from his drama film The Queen (2006) and especially his stage play The Audience (2013). The first season covers the period from Elizabeth's marriage to Philip, Duke of Edinburgh, in 1947 to the disintegration of her sister Princess Margaret's engagement to Group Captain Peter Townsend in 1955. The second season covers the period from the Suez Crisis in 1956 to the retirement of Prime Minister Harold Macmillan in 1963 and the birth of Prince Edward in 1964. The third season spans 1964 to 1977, includes Harold Wilson's two periods as prime minister, and introduces Camilla Shand. The fourth season spans 1979 to 1990 and includes Margaret Thatcher's tenure as prime minister and Prince Charles' marriage to Lady Diana Spencer. The fifth season spans 1991 to 1997 and covers John Major's tenure as prime minister and the breakdown of Charles and Diana's marriage. The sixth season, which will close the series, will cover the Queen's reign into the 21st century.
false	abductive	The Crown does not showcase much of royal life.	The Crown is a historical drama television series about the reign of Queen Elizabeth II.	The Crown is a historical drama television series about the reign of Queen Elizabeth II, created and principally written by Peter Morgan and produced by Left Bank Pictures and Sony Pictures Television for Netflix. Morgan developed it from his drama film The Queen (2006) and especially his stage play The Audience (2013). The first season covers the period from Elizabeth's marriage to Philip, Duke of Edinburgh, in 1947 to the disintegration of her sister Princess Margaret's engagement to Group Captain Peter Townsend in 1955. The second season covers the period from the Suez Crisis in 1956 to the retirement of Prime Minister Harold Macmillan in 1963 and the birth of Prince Edward in 1964. The third season spans 1964 to 1977, includes Harold Wilson's two periods as prime minister, and introduces Camilla Shand. The fourth season spans 1979 to 1990 and includes Margaret Thatcher's tenure as prime minister and Prince Charles' marriage to Lady Diana Spencer. The fifth season spans 1991 to 1997 and covers John Major's tenure as prime minister and the breakdown of Charles and Diana's marriage. The sixth season, which will close the series, will cover the Queen's reign into the 21st century.
false	deductive number	The Crown was cancelled after two seasons.	The sixth season, which will close the series, will cover the Queen's reign into the 21st century.	The Crown is a historical drama television series about the reign of Queen Elizabeth II, created and principally written by Peter Morgan and produced by Left Bank Pictures and Sony Pictures Television for Netflix. Morgan developed it from his drama film The Queen (2006) and especially his stage play The Audience (2013). The first season covers the period from Elizabeth's marriage to Philip, Duke of Edinburgh, in 1947 to the disintegration of her sister Princess Margaret's engagement to Group Captain Peter Townsend in 1955. The second season covers the period from the Suez Crisis in 1956 to the retirement of Prime Minister Harold Macmillan in 1963 and the birth of Prince Edward in 1964. The third season spans 1964 to 1977, includes Harold Wilson's two periods as prime minister, and introduces Camilla Shand. The fourth season spans 1979 to 1990 and includes Margaret Thatcher's tenure as prime minister and Prince Charles' marriage to Lady Diana Spencer. The fifth season spans 1991 to 1997 and covers John Major's tenure as prime minister and the breakdown of Charles and Diana's marriage. The sixth season, which will close the series, will cover the Queen's reign into the 21st century.
false	deductive time	The Crown television series only covers past centuries.	The sixth season, which will close the series, will cover the Queen's reign into the 21st century.	The Crown is a historical drama television series about the reign of Queen Elizabeth II, created and principally written by Peter Morgan and produced by Left Bank Pictures and Sony Pictures Television for Netflix. Morgan developed it from his drama film The Queen (2006) and especially his stage play The Audience (2013). The first season covers the period from Elizabeth's marriage to Philip, Duke of Edinburgh, in 1947 to the disintegration of her sister Princess Margaret's engagement to Group Captain Peter Townsend in 1955. The second season covers the period from the Suez Crisis in 1956 to the retirement of Prime Minister Harold Macmillan in 1963 and the birth of Prince Edward in 1964. The third season spans 1964 to 1977, includes Harold Wilson's two periods as prime minister, and introduces Camilla Shand. The fourth season spans 1979 to 1990 and includes Margaret Thatcher's tenure as prime minister and Prince Charles' marriage to Lady Diana Spencer. The fifth season spans 1991 to 1997 and covers John Major's tenure as prime minister and the breakdown of Charles and Diana's marriage. The sixth season, which will close the series, will cover the Queen's reign into the 21st century.
false	???	The characters in The White Lotus have little difficulty in getting along.	The White Lotus follows the guests and employees of the fictional White Lotus resort chain, whose interactions are affected by their various psychosocial dysfunctions.	The White Lotus is an American black comedy-drama anthology television series created by Mike White for HBO. It follows the guests and employees of the fictional White Lotus resort chain, whose interactions are affected by their various psychosocial dysfunctions. The press release notes that "each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel's cheerful employees, and the idyllic locale itself". The first two seasons are set in Hawaii and Sicily respectively.
false	deductive	The White Lotus is primarily set on a cruise ship.	The White Lotus follows the guests and employees of the fictional White Lotus resort chain.	The White Lotus is an American black comedy-drama anthology television series created by Mike White for HBO. It follows the guests and employees of the fictional White Lotus resort chain, whose interactions are affected by their various psychosocial dysfunctions. The press release notes that "each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel's cheerful employees, and the idyllic locale itself". The first two seasons are set in Hawaii and Sicily respectively.
false	deductive number	The White Lotus has more than two dozen episodes in its first two seasons.	The first two seasons, totalling 13 episodes, are set in Hawaii and Sicily respectively.	The White Lotus is an American black comedy-drama anthology television series created by Mike White for HBO. It follows the guests and employees of the fictional White Lotus resort chain, whose interactions are affected by their various psychosocial dysfunctions. The press release notes that "each passing day, a darker complexity emerges in these picture-perfect travelers, the hotel's cheerful employees, and the idyllic locale itself". The first two seasons, totalling 13 episodes, are set in Hawaii and Sicily respectively.
false	deductive time	The White Lotus was released before 2020.	The White Lotus premiered on July 11, 2021, to critical acclaim and high ratings.	Intended as a six-part limited series, The White Lotus premiered on July 11, 2021, to critical acclaim and high ratings. The show's success led to HBO renewing it as an anthology series; a second season premiered on October 30, 2022. In November 2022, the series was renewed for a third season. While no official announcement has been made, Variety reports that the third season will be filmed in Thailand, and that Natasha Rothwell will reprise her role as Belinda from the first season.
false	deductive	A monthly subscription is required to use Tor.	Tor, short for "The Onion Router," is free and open-source software.	Tor, short for "The Onion Router," is free and open-source software for enabling anonymous communication. It directs Internet traffic via a free, worldwide, volunteer overlay network that consists of more than seven thousand relays.
false	deductive	Tor is named after a fruit.	Tor, short for "The Onion Router," is free and open-source software 	Tor, short for "The Onion Router," is free and open-source software for enabling anonymous communication. It directs Internet traffic via a free, worldwide, volunteer overlay network that consists of more than seven thousand relays.
false	deductive number	Over 9000 relays are used by Tor.	Tor directs Internet traffic via a free, worldwide, volunteer overlay network that consists of more than seven thousand relays.	Tor, short for "The Onion Router," is free and open-source software for enabling anonymous communication. It directs Internet traffic via a free, worldwide, volunteer overlay network that consists of more than seven thousand relays.
false	deductive time	Tor software existed during the 20th century.	Tor was released shortly after the turn of the millennium.	Tor, short for "The Onion Router," is free and open-source software for enabling anonymous communication. It was released shortly after the turn of the millennium. It directs Internet traffic via a free, worldwide, volunteer overlay network that consists of more than seven thousand relays.
unverified	unverified	Son Ye-jin has never caught a cold.	Son Ye-jin (born Son Eon-jin on January 11, 1982) is a South Korean actress.	Son Ye-jin (born Son Eon-jin on January 11, 1982) is a South Korean actress. She rose to fame in 2003 for The Classic and Summer Scent, which were followed by the commercially successful A Moment to Remember (2004) and April Snow (2005). Her early roles in films garnered her the title "Nation's First Love" in Korea. She since has won various acting recognitions and acted in high-profile films including My Wife Got Married (2008), The Pirates (2014), the 2016 films The Truth Beneath and The Last Princess, and The Negotiation (2018). She has also acted in the successful television dramas Alone in Love (2006), Personal Taste (2010), Something in the Rain (2018), Crash Landing on You (2019–2020), and Thirty-Nine (2022).
unverified	unverified	Son Ye-jin is loved by every South Korean citizen.	She rose to fame in 2003 for The Classic and Summer Scent.	Son Ye-jin (born Son Eon-jin on January 11, 1982) is a South Korean actress. She rose to fame in 2003 for The Classic and Summer Scent, which were followed by the commercially successful A Moment to Remember (2004) and April Snow (2005). Her early roles in films garnered her the title "Nation's First Love" in Korea. She since has won various acting recognitions and acted in high-profile films including My Wife Got Married (2008), The Pirates (2014), the 2016 films The Truth Beneath and The Last Princess, and The Negotiation (2018). She has also acted in the successful television dramas Alone in Love (2006), Personal Taste (2010), Something in the Rain (2018), Crash Landing on You (2019–2020), and Thirty-Nine (2022).
